Name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,1/4 car body mass,suspension mass,spring constant of suspension system,spring constant of wheel and tire,damping constant of suspension system,damping constant of wheel and tire
amc matador (sw),15,8,304,150,3892,12.5,72,1,973,125,85721,194600,136,5846
chevroelt chevelle malibu,16,6,250,105,3897,18.5,75,1,974,125,85831,194850,136,5853
cadillac eldorado,23,8,350,125,3900,17.4,79,1,975,125,85898,195000,137,5858
buick century,17,6,231,110,3907,21,75,1,977,125,86052,195350,137,5868
plymouth volare premier v8,13,8,318,150,3940,13.2,76,1,985,126,86779,197000,138,5918
chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,79,1,985,126,86779,197000,138,5918
mercury grand marquis,16.5,8,351,138,3955,13.2,79,1,989,127,87109,197750,138,5940
amc matador,15.5,8,304,120,3962,13.9,76,1,991,127,87263,198100,139,5951
chevrolet malibu,13,8,350,145,3988,13,73,1,997,128,87836,199400,140,5990
ford gran torino,14,8,302,137,4042,14.5,73,1,1011,129,89025,202100,141,6071
ford country squire (sw),15.5,8,351,142,4054,14.3,79,1,1014,130,89289,202700,142,6089
chevy c10,13,8,350,145,4055,12,76,1,1014,130,89311,202750,142,6091
oldsmobile cutlass supreme,17,8,260,110,4060,19,77,1,1015,130,89422,203000,142,6098
plymouth satellite custom (sw),14,8,318,150,4077,14,72,1,1019,130,89796,203850,143,6124
dodge magnum xe,17.5,8,318,140,4080,13.7,78,1,1020,131,89862,204000,143,6128
chevrolet monte carlo s,15,8,350,145,4082,13,73,1,1021,131,89906,204100,143,6131
plymouth fury iii,14,8,318,150,4096,13,71,1,1024,131,90214,204800,143,6152
chevrolet chevelle concours (sw),13,8,307,130,4098,14,72,1,1025,131,90258,204900,143,6155
buick century 350,13,8,350,175,4100,13,73,1,1025,131,90303,205000,144,6158
ford galaxie 500,14,8,351,153,4129,13,72,1,1032,132,90941,206450,145,6202
plymouth fury iii,15,8,318,150,4135,13.5,72,1,1034,132,91073,206750,145,6211
dodge monaco brougham,15.5,8,318,145,4140,13.7,77,1,1035,132,91184,207000,145,6218
ford gran torino,16,8,302,140,4141,14,74,1,1035,133,91206,207050,145,6220
ford galaxie 500,14,8,351,153,4154,13.5,71,1,1039,133,91492,207700,145,6239
chevrolet monte carlo landau,15.5,8,350,170,4165,11.4,77,1,1041,133,91734,208250,146,6256
dodge coronet brougham,16,8,318,150,4190,13,76,1,1048,134,92285,209500,147,6293
chevrolet impala,14,8,350,165,4209,12,71,1,1052,135,92703,210450,147,6322
chevrolet chevelle malibu classic,17.5,8,305,140,4215,13,76,1,1054,135,92835,210750,148,6331
ford gran torino,14.5,8,351,152,4215,12.8,76,1,1054,135,92835,210750,148,6331
pontiac grand prix lj,16,8,400,180,4220,11.1,77,1,1055,135,92946,211000,148,6338
plymouth fury gran sedan,14,8,318,150,4237,14.5,73,1,1059,136,93320,211850,148,6364
amc matador (sw),14,8,304,150,4257,15.5,74,1,1064,136,93760,212850,149,6394
chevrolet impala,13,8,350,165,4274,12,72,1,1069,137,94135,213700,150,6420
pontiac grand prix,16,8,400,230,4278,9.5,73,1,1070,137,94223,213900,150,6426
ford gran torino (sw),13,8,302,140,4294,16,72,1,1074,137,94575,214700,150,6450
mercury cougar brougham,15,8,302,130,4295,14.9,77,1,1074,137,94597,214750,150,6451
plymouth fury iii,14,8,440,215,4312,8.5,70,1,1078,138,94972,215600,151,6477
chrysler cordoba,15.5,8,400,190,4325,12.2,77,1,1081,138,95258,216250,151,6496
ford thunderbird,16,8,351,149,4335,14.5,77,1,1084,139,95478,216750,152,6511
ford galaxie 500,15,8,429,198,4341,10,70,1,1085,139,95611,217050,152,6520
chevrolet impala,14,8,454,220,4354,9,70,1,1089,139,95897,217700,152,6540
buick estate wagon (sw),16.9,8,350,155,4360,14.9,79,1,1090,140,96029,218000,153,6549
ford ltd,13,8,351,158,4363,13,73,1,1091,140,96095,218150,153,6553
chevy c20,10,8,307,200,4376,15,70,1,1094,140,96381,218800,153,6573
cadillac seville,16.5,8,350,180,4380,12.1,76,1,1095,140,96470,219000,153,6579
dodge d200,11,8,318,210,4382,13.5,70,1,1096,140,96514,219100,153,6582
pontiac catalina,14,8,400,175,4385,12,72,1,1096,140,96580,219250,153,6586
chrysler newport royal,13,8,400,190,4422,12.5,72,1,1106,142,97395,221100,155,6642
pontiac catalina,14,8,455,225,4425,10,70,1,1106,142,97461,221250,155,6646
chevrolet bel air,15,8,350,145,4440,14,75,1,1110,142,97791,222000,155,6669
oldsmobile delta 88 royale,12,8,350,160,4456,13.5,72,1,1114,143,98143,222800,156,6693
dodge coronet custom (sw),14,8,318,150,4457,13.5,74,1,1114,143,98165,222850,156,6694
pontiac catalina brougham,14,8,400,175,4464,11.5,71,1,1116,143,98320,223200,156,6705
chevrolet caprice classic,13,8,400,150,4464,12,73,1,1116,143,98320,223200,156,6705
plymouth grand fury,16,8,318,150,4498,14.5,75,1,1125,144,99068,224900,157,6756
oldsmobile vista cruiser,12,8,350,180,4499,12.5,73,1,1125,144,99090,224950,157,6757
buick lesabre custom,13,8,350,155,4502,13.5,72,1,1126,144,99157,225100,158,6762
ford f250,10,8,360,215,4615,14,70,1,1154,148,101645,230750,162,6932
mercury marquis,11,8,429,208,4633,11,72,1,1158,148,102042,231650,162,6959
ford gran torino (sw),14,8,302,140,4638,16,74,1,1160,148,102152,231900,162,6966
plymouth custom suburb,13,8,360,170,4654,13,73,1,1164,149,102504,232700,163,6990
ford ltd,14,8,351,148,4657,13.5,75,1,1164,149,102570,232850,163,6995
pontiac catalina,16,8,400,170,4668,11.5,75,1,1167,149,102813,233400,163,7011
buick century luxus (sw),13,8,350,150,4699,14.5,74,1,1175,150,103495,234950,164,7058
hi 1200d,9,8,304,193,4732,18.5,70,1,1183,151,104222,236600,166,7107
chrysler new yorker brougham,13,8,440,215,4735,11,73,1,1184,152,104288,236750,166,7112
ford country squire (sw),13,8,400,170,4746,12,71,1,1187,152,104531,237300,166,7128
ford country,12,8,400,167,4906,12.5,73,1,1227,157,108055,245300,172,7369
buick electra 225 custom,12,8,455,225,4951,11,73,1,1238,158,109046,247550,173,7436
mercury marquis brougham,12,8,429,198,4952,11.5,73,1,1238,158,109068,247600,173,7438
dodge monaco (sw),12,8,383,180,4955,11.5,71,1,1239,159,109134,247750,173,7442
chevrolet impala,11,8,400,150,4997,14,73,1,1249,160,110059,249850,175,7505
pontiac safari (sw),13,8,400,175,5140,12,71,1,1285,164,113209,257000,180,7720
